#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:53:02       0    514     71      -     91     79      0      0      0      0  13801   2872 
 19:53:03       0    514     71      -     92     80      0      0      0      0  13801   2872 
 19:53:04       0    513     71      -     93     80      0      0      0      0  13801   2872 
 19:53:05       0    515     71      -     92     80      0      0      0      0  13801   2872 
 19:53:06       0    517     71      -     92     80      0      0      0      0  13801   2872 
 19:53:07       0    515     71      -     91     79      0      0      0      0  13801   2872 
 19:53:08       0    515     71      -     91     79      0      0      0      0  13801   2872 
 19:53:09       0    516     71      -     91     79      0      0      0      0  13801   2872 
 19:53:10       0    517     71      -     92     80      0      0      0      0  13801   2872 
 19:53:11       0    517     71      -     92     80      0      0      0      0  13801   2872 
 19:53:12       0    514     71      -     92     80      0      0      0      0  13801   2872 
 19:53:13       0    204     63      -      0      0      0      0      0      0  13801   2910 
 19:53:14       0    105     62      -      0      0      0      0      0      0  13801   2910 
 19:53:15       0    276     69      -     92     79      0      0      0      0  13801   2865 
 19:53:16       0    515     70      -     91     79      0      0      0      0  13801   2872 
 19:53:17       0    514     70      -     91     79      0      0      0      0  13801   2872 
 19:53:18       0    516     70      -     91     79      0      0      0      0  13801   2872 
 19:53:19       0    515     70      -     91     79      0      0      0      0  13801   2872 
 19:53:20       0    515     70      -     88     77      0      0      0      0  13801   2872 
 19:53:21       0    519     70      -     91     80      0      0      0      0  13801   2872 
 19:53:22       0    517     71      -     91     79      0      0      0      0  13801   2872 
 19:53:23       0    519     71      -     91     79      0      0      0      0  13801   2872 
 19:53:24       0    518     71      -     91     80      0      0      0      0  13801   2872 
 19:53:25       0    517     70      -     88     78      0      0      0      0  13801   2872 
 19:53:26       0    525     71      -     91     80      0      0      0      0  13801   2872 
 19:53:27       0    525     71      -     92     81      0      0      0      0  13801   2872 
 19:53:28       0    526     71      -     91     80      0      0      0      0  13801   2872 
 19:53:29       0    527     71      -     91     82      0      0      0      0  13801   2872 
 19:53:30       0    526     71      -     90     80      0      0      0      0  13801   2872 
 19:53:31       0    527     71      -     91     81      0      0      0      0  13801   2872 
 19:53:32       0    528     71      -     93     83      0      0      0      0  13801   2872 
 19:53:33       0    525     71      -     90     79      0      0      0      0  13801   2872 
 19:53:34       0    518     71      -     92     80      0      0      0      0  13801   2872 
 19:53:35       0    519     71      -     91     80      0      0      0      0  13801   2872 
 19:53:36       0    516     71      -     92     80      0      0      0      0  13801   2872 
 19:53:37       0    515     71      -     90     79      0      0      0      0  13801   2872 
 19:53:38       0    513     71      -     91     79      0      0      0      0  13801   2872 
 19:53:39       0    516     71      -     91     81      0      0      0      0  13801   2872 
 19:53:40       0    520     71      -     92     81      0      0      0      0  13801   2872 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:53:41       0    523     71      -     92     81      0      0      0      0  13801   2872 
 19:53:42       0    521     71      -     92     81      0      0      0      0  13801   2872 
 19:53:43       0    520     71      -     93     81      0      0      0      0  13801   2872 
 19:53:44       0    519     71      -     91     80      0      0      0      0  13801   2872 
 19:53:45       0    521     71      -     92     80      0      0      0      0  13801   2872 
 19:53:46       0    520     71      -     91     80      0      0      0      0  13801   2872 
 19:53:47       0    516     71      -     92     80      0      0      0      0  13801   2872 
 19:53:48       0    390     64      -      0      0      0      0      0      0  13801   2910 
 19:53:49       0    106     63      -      0      0      0      0      0      0  13801   2910 
